data_vencimento,data_pagamento,valor,descricao,situacao
2025-02-05,,657.64,Serviço,PENDENTE
2024-12-12,2024-12-21,542.80,Mensalidade,PAGA
2025-02-04,,353.57,Compra,PENDENTE
2025-01-20,2025-01-21,734.21,Serviço,PAGA
2025-01-24,,226.18,Parcela,PENDENTE
2025-01-15,,271.98,Compra,CANCELADA
2024-12-16,,549.61,Pagamento,CANCELADA
2025-02-02,2025-02-04,361.04,Parcela,PAGA
2025-01-08,2025-01-17,666.30,Serviço,PAGA
2025-01-25,,594.31,Compra,CANCELADA
2024-12-09,,469.03,Mensalidade,PENDENTE
2024-12-10,,611.05,Mensalidade,PENDENTE
2024-12-17,2024-12-27,588.57,Parcela,PAGA
2024-12-13,,446.42,Serviço,PENDENTE
2025-02-05,,580.31,Pagamento,CANCELADA
2025-01-24,,256.60,Parcela,PENDENTE
2024-12-26,2025-01-03,526.99,Compra,PAGA
2024-12-30,2024-12-31,997.04,Compra,PAGA
2025-01-14,2025-01-14,843.61,Mensalidade,PAGA
2025-01-06,,122.40,Pagamento,PENDENTE
2025-01-26,2025-01-29,614.33,Compra,PAGA
2025-01-14,,557.95,Serviço,PENDENTE
2024-12-29,,299.59,Mensalidade,CANCELADA
2025-01-12,,632.58,Compra,PENDENTE
2025-01-02,2025-01-10,685.14,Mensalidade,PAGA
2025-02-06,,866.52,Compra,CANCELADA
2025-01-23,,359.08,Pagamento,CANCELADA
2025-01-22,2025-01-24,729.49,Serviço,PAGA
2025-01-18,,588.06,Compra,CANCELADA
2025-01-10,,296.87,Compra,PENDENTE
2025-01-01,2025-01-04,230.72,Compra,PAGA
2025-01-28,2025-01-31,351.57,Serviço,PAGA
2025-01-16,,491.35,Compra,CANCELADA
2025-01-18,2025-01-28,792.75,Pagamento,PAGA
2025-01-10,,248.38,Mensalidade,PENDENTE
2025-01-03,2025-01-07,581.43,Parcela,PAGA
2024-12-09,2024-12-19,359.20,Compra,PAGA
2025-01-01,,672.66,Parcela,CANCELADA
2024-12-31,2025-01-05,371.02,Mensalidade,PAGA
2025-02-07,,566.50,Pagamento,CANCELADA
2025-01-16,2025-01-16,928.60,Pagamento,PAGA
2025-01-23,,626.26,Pagamento,PENDENTE
2025-01-08,,220.38,Mensalidade,PENDENTE
2025-01-08,2025-01-09,383.68,Pagamento,PAGA
2024-12-18,2024-12-21,772.46,Pagamento,PAGA
2025-02-01,,288.95,Serviço,CANCELADA
2025-01-05,,716.82,Pagamento,PENDENTE
2024-12-17,,261.98,Pagamento,CANCELADA
2025-02-06,,223.46,Pagamento,CANCELADA
2024-12-29,2025-01-02,636.67,Mensalidade,PAGA
2024-12-24,2024-12-27,273.82,Serviço,PAGA
2024-12-18,,360.29,Serviço,PENDENTE
